vertex index, timestamp [ns], position x [m], position y [m], position z [m], quaternion x, quaternion y, quaternion z, quaternion w, velocity x [m/s], velocity y [m/s], velocity z [m/s], acc bias x [m/s^2], acc bias y [m/s^2], acc bias z [m/s^2], gyro bias x [rad/s], gyro bias y [rad/s], gyro bias z [rad/s]
0, 1524587605238141537, 0.00660499357332481, 0.00185981195642028, -0.000295262301510258, -0.66950840670918, -0.274326651826588, 0.0405477371477978, 0.689100328294467, -0.0377470964487874, -0.0328388565017677, 0.023416897387089, 0.404784309780171, 0.116878968631552, -0.184546865033806, -0.00316795039492398, -0.00502075384273939, -0.00941528714945964
1, 1524587605370962381, -0.000360297498165929, -0.00272003661483158, 0.00366113102784835, -0.664858277057102, -0.282931074205176, 0.0751593389356773, 0.68721507000976, -0.028227173400624, -0.0360847294208787, 0.0250096272965606, 0.404833866550107, 0.116828515355269, -0.184534257840854, -0.00636441433998312, -0.00949974834342964, -0.0147212806229437
2, 1524587605503793716, -0.00083532351248383, -0.00437635930229988, 0.00776108061469726, -0.663976650992641, -0.272021943845012, 0.0942815540620403, 0.690108728800777, 0.0191276907661863, 0.0043016403103654, 0.0234385099774076, 0.405117369856989, 0.116625244959543, -0.184486922885881, -0.00137420639375043, -0.013574182202477, -0.00922242607028137
3, 1524587605636619329, 0.00137511079379149, -0.002847635223822, 0.00835717708672216, -0.665772377066668, -0.259492417422281, 0.119397943637405, 0.689314846997, 0.0118691946735623, 0.00924969668977694, -0.0108346640519507, 0.405559405853658, 0.116572891615277, -0.184495294797267, 0.00921497473491664, -0.00323831977373388, 0.00924154435207319
4, 1524587605769435883, 0.00520576769718466, -0.0013387559345374, 0.00693524083399597, -0.669692367249451, -0.243928458393353, 0.144312079516397, 0.686429212766562, 0.0278493930741741, -0.00602977944716685, -0.0254015591396562, 0.405938498478619, 0.116415794070464, -0.184567058132315, -0.00563880336848431, -0.00306557896652297, 0.000774483709414253
5, 1524587605902248383, 0.00876391195250308, -0.0018865290840179, 0.00932357831892642, -0.669898210253073, -0.262689853977579, 0.165481361429292, 0.674422973760885, 0.0209589222653581, -0.00517136233352154, 0.0331975798189757, 0.40662161685955, 0.115666780363864, -0.184614003463887, -0.015634226367316, -0.0190498473294205, -0.0103947466260255
6, 1524587606035087347, 0.00866589337736933, -0.0028274461770034, 0.0118778550528905, -0.664967828987238, -0.247960527050909, 0.174333642508911, 0.682598816675073, -0.00165729433428592, -0.00412247638022506, 0.00769098620640105, 0.40750007729136, 0.11507879609011, -0.184743764782101, -0.00580878252413648, -0.0143988942489599, -0.00594770970288015
7, 1524587606167946339, 0.0112133580037496, -0.00397706895539141, 0.0136256180339285, -0.666012615786609, -0.242623426295771, 0.189139168757881, 0.679549441517802, 0.0200438392399479, -0.0145178819808943, 0.0180231588675953, 0.408019273871661, 0.114704741949634, -0.184935775240263, -0.00406285069415203, -0.00414746403885953, -0.00560939297044628
8, 1524587606300785780, 0.014848682924065, -0.00539331617728965, 0.0143805792427408, -0.663323668547795, -0.233645710150821, 0.205885653935596, 0.680457559569974, 0.0439903560467852, -0.00535727807738952, -0.010786385031047, 0.408383630903631, 0.114487667023834, -0.185142700897176, 0.00404710537108724, -0.00521392823010786, -0.00283483075423331
9, 1524587606433639526, 0.0185295920701459, -0.0065027622310328, 0.0117892916005887, -0.66669973210434, -0.22221079183301, 0.220528257085509, 0.67638829013502, 0.0420240761359446, -0.00262503102401446, -0.0146610177312486, 0.408690450853599, 0.114678338906821, -0.185370730341591, 0.0136241222588746, -0.00986873341903697, 0.00225292096995929
10, 1524587606566490412, 0.0252751896751686, -0.00200771499662699, 0.0124053009942581, -0.673191725097433, -0.213588506413684, 0.230871925719337, 0.669246595137367, 0.0614648878610714, 0.0727950884284028, 0.0503745019773316, 0.409071179249087, 0.11476492873472, -0.185633524132739, -0.0152864436769309, -0.0155119101627762, 0.0100813056663853
11, 1524587606699340105, 0.0316149730316334, 0.0118404896135698, 0.0189718625795254, -0.66554786295435, -0.19059111290213, 0.222177270833316, 0.686555409362337, 0.0659220495893329, 0.144219711100415, 0.0615089918597211, 0.409322753854965, 0.113917892454644, -0.185920380182463, -0.0197682352486722, -0.00117102415458208, 0.0160696201696209
12, 1524587606832187891, 0.0417119905236075, 0.0324561928563252, 0.0282558779195921, -0.666960831584874, -0.178063925172318, 0.21416103452578, 0.691079980157643, 0.0654416729447242, 0.104986144570803, 0.0308161859337716, 0.408985084236117, 0.113692190760071, -0.186573204936182, 0.00971668496825624, 0.0111319562692035, 0.0140943611935669
