vertex index, timestamp [ns], position x [m], position y [m], position z [m], quaternion x, quaternion y, quaternion z, quaternion w, velocity x [m/s], velocity y [m/s], velocity z [m/s], acc bias x [m/s^2], acc bias y [m/s^2], acc bias z [m/s^2], gyro bias x [rad/s], gyro bias y [rad/s], gyro bias z [rad/s]
0, 1524501343927043676, 0.00212645640258975, -0.000288945862860491, 0.00339907693978515, -0.696460155685641, -0.0376238768626959, 0.0134442057496, 0.7164823436512, -0.00111264669629997, -0.00600246079077595, 0.00811671102605296, 0.434268129822323, 0.0966080118305358, -0.116102408148773, -0.0061898632820046, -0.00329589173731859, -0.0018862537245745
1, 1524501344059958220, 0.00217471844587768, -0.00100696984648405, 0.00447962933470085, -0.694108612036182, -0.0381439764221376, 0.014230468389797, 0.718718140531682, 0.00128147935980714, -0.00685046073289847, 0.00998267738146089, 0.434274111894896, 0.0966290567299257, -0.116105904636717, -0.00424677978807131, -0.00320062650627697, -0.000674124167327383
2, 1524501344192864895, 0.00213883367063147, -0.00175429177979105, 0.00449105866636307, -0.69386137402032, -0.0386858916051983, 0.0153230820476296, 0.718905416998583, -0.00289705578997046, -0.00952975330481264, -0.00920479693356904, 0.434300630868216, 0.0967338618063686, -0.116126794654684, -0.00384181978556391, -0.00372126216370711, -0.000692420510702808
3, 1524501344323810577, 0.00273603611619886, -0.00300330083600527, 0.00358416316903809, -0.692473972513993, -0.0394943147972174, 0.01569274630511, 0.720190068108962, 0.0123756516504767, -0.00548741746548701, -0.00505005453515433, 0.434291462336633, 0.0968874132852569, -0.11616513894646, -0.0040952448585526, -0.00224115307101209, -0.00169385567996518
4, 1524501344456700325, 0.00409202427330101, -0.00295945283529547, 0.00321947312833741, -0.692685999279043, -0.0407186877809226, 0.018422830477439, 0.719853244894675, 0.0041660863492681, 0.00603430364271952, -0.00389737319719025, 0.43416417603288, 0.0971624882221109, -0.116197887360737, -0.00559409778589318, -0.000223747364486911, -0.00278773716708112
5, 1524501344589583874, 0.00497943459553117, -0.00189915092214376, 0.0041311216115538, -0.690784208686268, -0.0449209860888127, 0.0223773340005297, 0.721317223530344, 0.00668268802426429, 0.0197459759017611, 0.00276876632812917, 0.434012819449524, 0.0975050460631665, -0.116163875855395, -0.00264900644390956, 0.000199362034032487, -0.00456387434108335
6, 1524501344722456455, 0.00624771527888555, 0.00234582325495513, 0.00328303573082715, -0.694951252629387, -0.0504763981982635, 0.0255244420622739, 0.716828705166852, 0.0110361940828263, 0.0370311633497707, -0.0100393851224881, 0.4338986207702, 0.0980328810298741, -0.116141793524335, -0.00245555045512929, -0.0020033887353768, -0.00382002477506902
7, 1524501344855329752, 0.00662770784282, 0.00954473028785056, 0.00285079126456578, -0.697538888270429, -0.0533533244376511, 0.0265922666622974, 0.71406286381219, -0.00919449327918015, 0.0627958684066583, 0.0108145747971966, 0.433928101488438, 0.0983525962573107, -0.116198221634277, -0.00587499066719913, -0.00516048901478989, -0.00163218464321524
8, 1524501344988193989, 0.0041265466556511, 0.0205330582772273, 0.00342887623272087, -0.699484741716812, -0.0525922687942586, 0.0262965635009683, 0.712224431002249, -0.0305065828427864, 0.101128030264993, -0.00420339128756127, 0.433966545529309, 0.0985762357414489, -0.116352373552878, -0.00242795225408087, -0.00245009891390507, 0.000547691118902594
9, 1524501345121080160, -0.00248156347139313, 0.0356111938346978, 0.00285997376407264, -0.70007662067295, -0.0528203526472442, 0.0261518168545521, 0.711631096853257, -0.069648501471199, 0.127396396645688, -0.00314543665852817, 0.433794002883782, 0.0986912399069533, -0.11662751775507, -0.00411365655459681, -0.00278500487232756, -0.00236728585386015
